"","dim","fid","BSqi.1","BSrr.1","CMA-CSA.1","fmincon.1","fminunc.1","HCMA.1","HMLSL.1","IPOP400D.1","MCS.1","MLSL.1","OQNLP.1","SMAC-BBOB.1"
"68",5,20,36690.3225806452,36690.3225806452,3.23713407730875,36690.3225806452,36690.3225806452,6.82793142487466,1.02021672327349,36690.3225806452,2.29039301310044,36690.3225806452,1.2386382015203,36690.3225806452
"69",5,21,16.7345065860505,11.1547182034118,14.4633988339452,1.41999568127834,2.81299935219175,24.6659468797236,1.26992010364932,6.17361261066724,7.13819909306845,3.04966529907147,1.31343122435759,2.23709781904556
"70",5,22,180.965688987272,172.466795794134,285.946319867183,1.3458771444383,1.52988378527947,5.49612617598229,2.11289429994466,10.3818483674599,15.4493635860542,1.61289429994466,1.43642778085224,2.11815163254012
"71",5,23,36690.3225806452,36690.3225806452,6.44805221888555,11.5659930764097,36690.3225806452,1.01303386720053,5.0659253003003,36690.3225806452,36690.3225806452,36690.3225806452,36690.3225806452,36690.3225806452
"72",5,24,36690.3225806452,36690.3225806452,36690.3225806452,36690.3225806452,36690.3225806452,1.00003978287145,36690.3225806452,36690.3225806452,36690.3225806452,36690.3225806452,36690.3225806452,36690.3225806452
"73",10,1,24.75,24.75,49.0178571428571,24.5267857142857,23.3482142857143,23.3214285714286,24.5267857142857,44.9107142857143,24.5535714285714,24.5267857142857,24.2946428571429,28.8660714285714
"74",10,2,6.33049040511727,6.80383795309169,43.6929637526652,12.4243070362473,32.5714285714286,9.05756929637527,12.5714285714286,86.7590618336887,20.7185501066098,12.5714285714286,11.3518123667377,36690.3225806452
"75",10,3,1.82266794014645,1.79592486469277,36690.3225806452,36690.3225806452,36690.3225806452,2.82712511938873,118.802398386926,36690.3225806452,36690.3225806452,36690.3225806452,36690.3225806452,36690.3225806452
"76",10,4,1.6915152650309,1.46825248173815,36690.3225806452,36690.3225806452,36690.3225806452,4.48267465817569,36690.3225806452,36690.3225806452,36690.3225806452,36690.3225806452,36690.3225806452,36690.3225806452
"77",10,5,41.359375,41.359375,48.125,48.59375,43.4375,42,48.59375,48.578125,40.640625,48.59375,41.71875,40.0625
"78",10,6,36690.3225806452,36690.3225806452,1.5332134138507,1.4296543749197,2.70756777592188,2.14210458692021,1.32121289991006,1.54798920724656,58.4491841192342,1.32121289991006,3.4732108441475,36690.3225806452
"79",10,7,36690.3225806452,36690.3225806452,1.36489549231932,36690.3225806452,36690.3225806452,1.15739108536892,12.8493452530849,36690.3225806452,36690.3225806452,36690.3225806452,36690.3225806452,36690.3225806452
"80",10,8,36690.3225806452,184.957281553398,4.84233009708738,1.59398058252427,1.78504854368932,2.22174757281553,1.98912621359223,7.08381877022653,2.00330097087379,1.60155339805825,1.48543689320388,36690.3225806452
"81",10,9,36690.3225806452,36690.3225806452,11.688161209068,2.45390428211587,2.25944584382872,5.32443324937028,2.46045340050378,30.823677581864,3.76120906801008,2.46045340050378,2.3088161209068,36690.3225806452
"82",10,10,36690.3225806452,36690.3225806452,8.62553373185312,2.26259607173356,9.76046114432109,2.85525192143467,2.06746370623399,36690.3225806452,36690.3225806452,2.06746370623399,14.1925704526046,36690.3225806452
"83",10,11,36690.3225806452,36690.3225806452,17.0081680280047,3.92765460910152,67.0525087514586,7.8879813302217,3.9171528588098,36.3987747957993,36690.3225806452,3.9171528588098,32.2812135355893,36690.3225806452
"84",10,12,36690.3225806452,36690.3225806452,8.47908745247148,1.92104674569448,1.55915902482666,1.83896220084992,1.91366584656676,23.9599642138224,19.280474166853,1.91366584656676,14.2039812122568,36690.3225806452
"85",10,13,36690.3225806452,36690.3225806452,7.92706600110926,1.71048252911814,2.04298391569606,1.70604547975596,1.69328896283971,10.8786282122389,36690.3225806452,1.69328896283971,3.471436494731,36690.3225806452
